"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCB1",3.03237184746279,0.84157308686326,1.07198243572437,0.785062384249407,0.432416992880313,NA
"ABCB10",371.073823165074,-0.156498331664982,0.122327044425282,-1.27934368397637,0.200776055847298,0.556401020513982
"ABCB11",0,NA,NA,NA,NA,NA
"ABCB4",1.79045400993852,0.453147052093921,1.44559236145192,0.313468073142549,0.753925073199643,NA
"ABCB5",0,NA,NA,NA,NA,NA
"ABCB6",1243.23886801471,0.0819454745377115,0.121398251415719,0.675013631432756,0.499667104465664,0.79549278115225
"ABCB7",350.120782703103,-0.0136866318145318,0.122399018034479,-0.111819784458372,0.910966300174993,0.970536527563283
"ABCB8",557.496533152497,-0.0277349078043237,0.158171114378512,-0.175347489415499,0.860806598602261,0.95434355319236
"ABCB9",138.995540311942,0.00777731100557837,0.172793513203134,0.045009276456087,0.964099914906442,0.987411002081672
"ABCC1",6571.41130567052,0.407812560962966,0.09629594970782,4.23499183714731,2.28560008304375e-05,0.000717513201973348
"ABCC10",658.735793101428,0.220528919982385,0.179419179079333,1.22912679187365,0.21902427145173,0.575524043661383
"ABCC11",2.44452188670526,0.349736766046393,1.16945852875385,0.299058716018828,0.764895245382863,NA
"ABCC12",0,NA,NA,NA,NA,NA
"ABCC13",0,NA,NA,NA,NA,NA
"ABCC2",49.5114436109794,0.186447575605246,0.275517112027703,0.676718677228653,0.498584463903099,0.79495268580707
"ABCC3",20051.4434468711,0.377947174364215,0.186595823132547,2.02548571569977,0.0428175137628224,0.244767265516601
"ABCC4",489.118629053462,0.130465065268802,0.124317139575779,1.04945356460101,0.293969416304533,0.648383236317763
"ABCC5",987.031389593705,0.121603062527587,0.154110735713329,0.789062890166126,0.430075250103774,0.752796938587603
"ABCC5-AS1",0,NA,NA,NA,NA,NA
"ABCC6",6.89453272956087,0.373840512307784,0.713603745645995,0.523876891886774,0.60036416816339,NA
"ABCC6P1",2.71826343559162,0.529286828797702,1.10241441055176,0.480116028719899,0.631144891361737,NA
"ABCC6P2",1.79202428231173,-2.01124085808242,1.59748931255953,-1.25900113526266,0.208029921818885,NA
"ABCC8",0.174908655330474,1.11459488400279,4.0804728567969,0.27315336313197,0.784735327961881,NA
"ABCC9",26.0693427479955,-0.100164854530383,0.361274251874228,-0.27725434074182,0.781584816506858,0.928284031464228
"ABCD1",318.383144980979,0.0190067832444461,0.142171600891167,0.133689028788498,0.89364848103945,0.96550718909764
"ABCD2",0.525936654241253,2.59635711818607,2.52127547559504,1.02977923012292,0.303113652817333,NA
"ABCD3",1244.35118666093,-0.219830341193722,0.115533711061164,-1.90273764405734,0.0570747873342985,0.289890966624265
"ABCD4",560.789168014506,0.113220602874143,0.1385123502499,0.817404387911067,0.413697368946019,0.741098005570295
"ABCE1",2276.4392894651,-0.26847834861122,0.0876762993515601,-3.0621542035515,0.00219750214324949,0.030104161853054
"ABCF1",1804.43192487499,-0.123999849268133,0.111115214876962,-1.11595742676138,0.264440358439512,0.625818163442319
"ABCF2",1888.59074518723,-0.233458797671368,0.143146559766502,-1.63090749824643,0.102909839346176,0.399734462433508
"ABCF3",1028.70748285321,-0.102026757431765,0.115129756424393,-0.886189292850346,0.375515532380145,0.713151072281127
"ABCG1",0,NA,NA,NA,NA,NA
"ABCG2",7.13355426781309,-0.629279014298766,0.726288281979157,-0.866431456919506,0.386253599519202,NA
"ABCG4",9.03603558716638,0.377631496644489,0.6197652253563,0.609313787212553,0.542316470180135,NA
"ABCG5",0,NA,NA,NA,NA,NA
